retriever,dataset,system,metric,mean,std,min,max,n_seeds,seeds,seed_13,seed_21,seed_42,seed_87,seed_100
hybrid_bm25_faiss,medmcqa,dense,ndcg@5,0.296342,0.000000,0.296342,0.296342,5,13 21 42 87 100,0.296342,0.296342,0.296342,0.296342,0.296342
hybrid_bm25_faiss,medmcqa,dense,ndcg@10,0.328212,0.000000,0.328212,0.328212,5,13 21 42 87 100,0.328212,0.328212,0.328212,0.328212,0.328212
hybrid_bm25_faiss,medmcqa,dense,ndcg@20,0.353160,0.000000,0.353160,0.353160,5,13 21 42 87 100,0.353160,0.353160,0.353160,0.353160,0.353160
hybrid_bm25_faiss,medmcqa,dense,mrr,0.285316,0.000000,0.285316,0.285316,5,13 21 42 87 100,0.285316,0.285316,0.285316,0.285316,0.285316
hybrid_bm25_faiss,medmcqa,dense,mrr@10,0.285316,0.000000,0.285316,0.285316,5,13 21 42 87 100,0.285316,0.285316,0.285316,0.285316,0.285316
hybrid_bm25_faiss,medmcqa,dense,recall@5,0.406949,0.000000,0.406949,0.406949,5,13 21 42 87 100,0.406949,0.406949,0.406949,0.406949,0.406949
hybrid_bm25_faiss,medmcqa,dense,recall@10,0.504908,0.000000,0.504908,0.504908,5,13 21 42 87 100,0.504908,0.504908,0.504908,0.504908,0.504908
hybrid_bm25_faiss,medmcqa,dense,recall@20,0.603062,0.000000,0.603062,0.603062,5,13 21 42 87 100,0.603062,0.603062,0.603062,0.603062,0.603062
hybrid_bm25_faiss,medmcqa,dense,hit@5,0.406949,0.000000,0.406949,0.406949,5,13 21 42 87 100,0.406949,0.406949,0.406949,0.406949,0.406949
hybrid_bm25_faiss,medmcqa,dense,hit@10,0.504908,0.000000,0.504908,0.504908,5,13 21 42 87 100,0.504908,0.504908,0.504908,0.504908,0.504908
hybrid_bm25_faiss,medmcqa,dense,hit@20,0.603062,0.000000,0.603062,0.603062,5,13 21 42 87 100,0.603062,0.603062,0.603062,0.603062,0.603062
hybrid_bm25_faiss,medmcqa,dense,hit@50,0.720259,0.000000,0.720259,0.720259,5,13 21 42 87 100,0.720259,0.720259,0.720259,0.720259,0.720259
hybrid_bm25_faiss,medmcqa,dense,ndcg@100,0.395143,0.000000,0.395143,0.395143,5,13 21 42 87 100,0.395143,0.395143,0.395143,0.395143,0.395143
hybrid_bm25_faiss,medmcqa,dense,ndcg@50,0.376691,0.000000,0.376691,0.376691,5,13 21 42 87 100,0.376691,0.376691,0.376691,0.376691,0.376691
hybrid_bm25_faiss,medmcqa,dense,recall@100,0.838045,0.000000,0.838045,0.838045,5,13 21 42 87 100,0.838045,0.838045,0.838045,0.838045,0.838045
hybrid_bm25_faiss,medmcqa,dense,recall@50,0.720259,0.000000,0.720259,0.720259,5,13 21 42 87 100,0.720259,0.720259,0.720259,0.720259,0.720259
hybrid_bm25_faiss,medmcqa,gardian,ndcg@5,0.388751,0.001543,0.387406,0.391358,5,13 21 42 87 100,0.387921,0.388791,0.388279,0.387406,0.391358
hybrid_bm25_faiss,medmcqa,gardian,ndcg@10,0.424506,0.001769,0.423251,0.427555,5,13 21 42 87 100,0.423251,0.424085,0.424328,0.423310,0.427555
hybrid_bm25_faiss,medmcqa,gardian,ndcg@20,0.448492,0.001185,0.447506,0.450549,5,13 21 42 87 100,0.448129,0.448009,0.447506,0.448269,0.450549
hybrid_bm25_faiss,medmcqa,gardian,mrr,0.372091,0.001492,0.370824,0.374396,5,13 21 42 87 100,0.370824,0.372712,0.371595,0.370927,0.374396
hybrid_bm25_faiss,medmcqa,gardian,mrr@10,0.372091,0.001492,0.370824,0.374396,5,13 21 42 87 100,0.370824,0.372712,0.371595,0.370927,0.374396
hybrid_bm25_faiss,medmcqa,gardian,recall@5,0.514684,0.002130,0.512760,0.518060,5,13 21 42 87 100,0.514920,0.512760,0.514723,0.512956,0.518060
hybrid_bm25_faiss,medmcqa,gardian,recall@10,0.624931,0.002750,0.622104,0.629368,5,13 21 42 87 100,0.624068,0.622104,0.625442,0.623675,0.629368
hybrid_bm25_faiss,medmcqa,gardian,recall@20,0.719081,0.003025,0.715548,0.722026,5,13 21 42 87 100,0.721830,0.715548,0.716333,0.722026,0.719670
hybrid_bm25_faiss,medmcqa,gardian,hit@5,0.514684,0.002130,0.512760,0.518060,5,13 21 42 87 100,0.514920,0.512760,0.514723,0.512956,0.518060
hybrid_bm25_faiss,medmcqa,gardian,hit@10,0.624931,0.002750,0.622104,0.629368,5,13 21 42 87 100,0.624068,0.622104,0.625442,0.623675,0.629368
hybrid_bm25_faiss,medmcqa,gardian,hit@20,0.719081,0.003025,0.715548,0.722026,5,13 21 42 87 100,0.721830,0.715548,0.716333,0.722026,0.719670
hybrid_bm25_faiss,medmcqa,gardian,hit@50,0.815548,0.001876,0.813310,0.818218,5,13 21 42 87 100,0.818218,0.814291,0.815862,0.813310,0.816058
hybrid_bm25_faiss,medmcqa,gardian,ndcg@100,0.471756,0.001219,0.470832,0.473760,5,13 21 42 87 100,0.470840,0.472009,0.471338,0.470832,0.473760
hybrid_bm25_faiss,medmcqa,gardian,ndcg@50,0.467977,0.001263,0.466675,0.470061,5,13 21 42 87 100,0.467519,0.468007,0.467621,0.466675,0.470061
hybrid_bm25_faiss,medmcqa,gardian,recall@100,0.838045,0.000000,0.838045,0.838045,5,13 21 42 87 100,0.838045,0.838045,0.838045,0.838045,0.838045
hybrid_bm25_faiss,medmcqa,gardian,recall@50,0.815548,0.001876,0.813310,0.818218,5,13 21 42 87 100,0.818218,0.814291,0.815862,0.813310,0.816058
hybrid_bm25_faiss,medmcqa,global_alpha,alpha_sparse,0.500000,0.000000,0.500000,0.500000,5,13 21 42 87 100,0.500000,0.500000,0.500000,0.500000,0.500000
hybrid_bm25_faiss,medmcqa,hybrid,ndcg@5,0.344065,0.000000,0.344065,0.344065,5,13 21 42 87 100,0.344065,0.344065,0.344065,0.344065,0.344065
hybrid_bm25_faiss,medmcqa,hybrid,ndcg@10,0.376365,0.000000,0.376365,0.376365,5,13 21 42 87 100,0.376365,0.376365,0.376365,0.376365,0.376365
hybrid_bm25_faiss,medmcqa,hybrid,ndcg@20,0.397376,0.000000,0.397376,0.397376,5,13 21 42 87 100,0.397376,0.397376,0.397376,0.397376,0.397376
hybrid_bm25_faiss,medmcqa,hybrid,mrr,0.331835,0.000000,0.331835,0.331835,5,13 21 42 87 100,0.331835,0.331835,0.331835,0.331835,0.331835
