retriever,field,mean,std,min,max,n_seeds,seeds,seed_13,seed_21,seed_42,seed_87,seed_100
hybrid_bm25_faiss,best_ndcg10,0.710104,0.000458,0.709655,0.710745,5,13 21 42 87 100,0.710379,0.709655,0.710745,0.710016,0.709725
hybrid_bm25_faiss,train_wall_clock_sec,6145.750657,324.660308,5620.155134,6448.976287,5,13 21 42 87 100,5620.155134,6313.122165,6448.976287,6282.554910,6063.944787
hybrid_bm25_faiss,trainable_parameters,7928836.000000,0.000000,7928836.000000,7928836.000000,5,13 21 42 87 100,7928836.000000,7928836.000000,7928836.000000,7928836.000000,7928836.000000
hybrid_bm25_medcpt,best_ndcg10,0.718555,0.000718,0.717316,0.719076,5,13 21 42 87 100,0.719026,0.719076,0.718730,0.718626,0.717316
hybrid_bm25_medcpt,train_wall_clock_sec,5885.074610,326.039374,5532.785488,6232.505050,5,13 21 42 87 100,5532.785488,6205.636441,5845.114997,6232.505050,5609.331073
hybrid_bm25_medcpt,trainable_parameters,7928836.000000,0.000000,7928836.000000,7928836.000000,5,13 21 42 87 100,7928836.000000,7928836.000000,7928836.000000,7928836.000000,7928836.000000
hybrid_spladepp_faiss,best_ndcg10,0.723374,0.001494,0.721584,0.725006,5,13 21 42 87 100,0.724854,0.722745,0.721584,0.722680,0.725006
hybrid_spladepp_faiss,train_wall_clock_sec,5920.111591,362.314416,5456.605568,6218.531817,5,13 21 42 87 100,5456.605568,5601.732533,6123.372457,6200.315579,6218.531817
hybrid_spladepp_faiss,trainable_parameters,7928836.000000,0.000000,7928836.000000,7928836.000000,5,13 21 42 87 100,7928836.000000,7928836.000000,7928836.000000,7928836.000000,7928836.000000
hybrid_spladepp_medcpt,best_ndcg10,0.732775,0.000610,0.732134,0.733535,5,13 21 42 87 100,0.732134,0.733190,0.732812,0.732202,0.733535
hybrid_spladepp_medcpt,train_wall_clock_sec,5909.310468,350.534738,5285.829973,6109.387806,5,13 21 42 87 100,5285.829973,6054.734952,6009.860307,6109.387806,6086.739300
hybrid_spladepp_medcpt,trainable_parameters,7928836.000000,0.000000,7928836.000000,7928836.000000,5,13 21 42 87 100,7928836.000000,7928836.000000,7928836.000000,7928836.000000,7928836.000000
