epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,0.163720326524932,True,0.6692273764933809,True,0.6692273764933809,0,4536.27220249176,1e-05
2,0.13679310830810618,True,0.6901244816680915,True,0.6901244816680915,0,4684.236905097961,2e-05
3,0.1298388588780619,True,0.696189225261657,True,0.696189225261657,0,4579.997702360153,3e-05
4,0.12266942350759809,True,0.6981157455428652,True,0.6981157455428652,0,4579.118970870972,3e-05
5,0.117037721249405,True,0.6965268995778195,False,0.6981157455428652,1,4654.86020731926,2.8151150572225256e-05
6,0.11017987643777216,True,0.6940830754891891,False,0.6981157455428652,2,4677.8254063129425,2.3100000000000002e-05
7,0.10258058249200905,True,0.6911297714121227,False,0.6981157455428652,3,4611.502359867096,1.62e-05
8,0.09624182130987664,True,0.6880186853783335,False,0.6981157455428652,4,4806.7963218688965,9.300000000000004e-06
9,0.09218679183063998,True,0.687623227018719,False,0.6981157455428652,5,4841.01312828064,4.248849427774746e-06
10,0.09026296152156907,True,0.6867327896037853,False,0.6981157455428652,6,4853.007199764252,2.4000000000000003e-06
