epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,0.1562054081440264,True,0.6829999458830307,True,0.6829999458830307,0,4557.582271337509,1e-05
2,0.1291160826373012,True,0.6926291609656847,True,0.6926291609656847,0,4705.149984836578,2e-05
3,0.1230570529436453,True,0.7004180689348946,True,0.7004180689348946,0,4621.956357240677,3e-05
4,0.1167450228807544,True,0.7068910302836727,True,0.7068910302836727,0,4563.696717977524,3e-05
5,0.11076019737052893,True,0.709753153752549,True,0.709753153752549,0,4619.679688453674,2.8151150572225256e-05
6,0.1042268797123728,True,0.7100530584376937,True,0.7100530584376937,0,4663.915324211121,2.3100000000000002e-05
7,0.09749260843192556,True,0.7102873612180352,True,0.7102873612180352,0,4658.381292819977,1.62e-05
8,0.09174769532439743,True,0.7060299014767962,False,0.7102873612180352,1,4851.100136995316,9.300000000000004e-06
9,0.08774741084689586,True,0.7026220265002672,False,0.7102873612180352,2,4854.531862974167,4.248849427774746e-06
10,0.0860233357681534,True,0.7014205930063677,False,0.7102873612180352,3,4808.249430656433,2.4000000000000003e-06
