retriever,dataset,system,ndcg@10,ndcg@20,ndcg@50,mrr,recall@10,recall@20,hit@10,p50_ms,mean_ms,p95_ms
hybrid_bm25_faiss,pubmedqa_labeled,hybrid,0.808337,0.822737,0.832974,0.960966,0.809838,0.849674,0.986000,0.000,0.000,0.000
hybrid_bm25_faiss,pubmedqa_labeled,rrf,0.863250,0.889092,0.900337,0.974136,0.878324,0.949633,0.991000,0.037,0.039,0.053
hybrid_bm25_faiss,pubmedqa_labeled,gardian,0.907062,0.921036,0.930446,0.981718,0.922471,0.960874,0.996000,28.883,29.514,39.816
hybrid_bm25_faiss,pubmedqa_labeled,cross_encoder_msmarco_minilm,0.866266,0.884008,0.899354,0.981202,0.868714,0.917824,0.993000,120.856,124.520,169.199
hybrid_bm25_faiss,pubmedqa_labeled,cross_encoder_bge_v2_m3,0.917767,0.931451,0.938245,0.980553,0.936538,0.972874,0.996000,645.189,656.076,866.798
hybrid_bm25_faiss,pubmedqa_labeled,cross_encoder_monot5_med,0.919202,0.932443,0.940662,0.986432,0.931481,0.966750,0.998000,699.720,722.279,1047.701
hybrid_bm25_faiss,pubmedqa_labeled,cross_encoder_monobert,0.891724,0.905423,0.917334,0.983241,0.897438,0.934721,0.995000,774.251,808.317,1108.548
hybrid_bm25_faiss,medmcqa,hybrid,0.376365,0.397376,0.410947,0.331835,0.552415,0.635061,0.552415,0.000,0.000,0.000
hybrid_bm25_faiss,medmcqa,rrf,0.394086,0.419438,0.438696,0.342005,0.596388,0.695917,0.596388,0.057,0.062,0.091
hybrid_bm25_faiss,medmcqa,gardian,0.424328,0.447506,0.467621,0.371595,0.625442,0.716333,0.625442,42.264,40.924,47.736
hybrid_bm25_faiss,medmcqa,cross_encoder_msmarco_minilm,0.460258,0.479752,0.494496,0.406689,0.657048,0.733608,0.657048,181.479,178.835,213.464
hybrid_bm25_faiss,medmcqa,cross_encoder_bge_v2_m3,0.490605,0.509389,0.519934,0.431033,0.702199,0.776011,0.702199,1031.616,999.794,1145.114
hybrid_bm25_faiss,medmcqa,cross_encoder_monot5_med,0.498356,0.516294,0.525660,0.437711,0.712799,0.783078,0.712799,1320.603,1279.082,1503.049
hybrid_bm25_faiss,medmcqa,cross_encoder_monobert,0.478735,0.498932,0.510695,0.420791,0.688261,0.767373,0.688261,1228.847,1194.291,1400.591
