retriever,dataset,system,ndcg@10,ndcg@20,ndcg@50,mrr,recall@10,recall@20,hit@10,p50_ms,mean_ms,p95_ms
hybrid_spladepp_medcpt,pubmedqa_labeled,hybrid,0.913684,0.929937,0.938670,0.991618,0.919707,0.963436,0.999000,0.000,0.000,0.000
hybrid_spladepp_medcpt,pubmedqa_labeled,rrf,0.903503,0.921580,0.929774,0.987769,0.914674,0.963452,0.999000,0.059,0.063,0.092
hybrid_spladepp_medcpt,pubmedqa_labeled,gardian,0.915952,0.931585,0.939788,0.991806,0.925490,0.967379,0.999000,36.730,35.832,44.136
hybrid_spladepp_medcpt,pubmedqa_labeled,cross_encoder_msmarco_minilm,0.857769,0.874476,0.889295,0.980843,0.856374,0.901595,0.994000,126.496,127.456,170.621
hybrid_spladepp_medcpt,pubmedqa_labeled,cross_encoder_bge_v2_m3,0.906643,0.919436,0.930084,0.980305,0.921088,0.954802,0.997000,685.649,681.356,863.204
hybrid_spladepp_medcpt,pubmedqa_labeled,cross_encoder_monot5_med,0.911768,0.924092,0.934279,0.986990,0.919948,0.952436,0.997000,743.712,757.007,1080.013
hybrid_spladepp_medcpt,pubmedqa_labeled,cross_encoder_monobert,0.883550,0.898454,0.911151,0.984756,0.885131,0.925595,0.996000,819.815,844.445,1180.098
hybrid_spladepp_medcpt,medmcqa,hybrid,0.436057,0.451903,0.461715,0.382624,0.632705,0.694739,0.632705,0.000,0.000,0.000
hybrid_spladepp_medcpt,medmcqa,rrf,0.429393,0.456720,0.472526,0.369229,0.656851,0.764232,0.656851,0.032,0.033,0.037
hybrid_spladepp_medcpt,medmcqa,gardian,0.479803,0.499926,0.515289,0.421399,0.692776,0.772281,0.692776,33.321,32.536,39.779
hybrid_spladepp_medcpt,medmcqa,cross_encoder_msmarco_minilm,0.457212,0.480141,0.497659,0.405526,0.653121,0.743031,0.653121,181.941,178.844,212.847
hybrid_spladepp_medcpt,medmcqa,cross_encoder_bge_v2_m3,0.499997,0.521485,0.533194,0.439313,0.718492,0.803691,0.718492,983.893,977.702,1145.490
hybrid_spladepp_medcpt,medmcqa,cross_encoder_monot5_med,0.499769,0.520913,0.533118,0.438914,0.719867,0.802513,0.719867,1254.791,1252.924,1471.705
hybrid_spladepp_medcpt,medmcqa,cross_encoder_monobert,0.480262,0.503679,0.518317,0.422830,0.692972,0.784649,0.692972,1201.238,1189.944,1412.300
